,Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI,Zip_Code,Latitude,Longitude
35,4/30/2019,72441,33138,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Miami,3033,456700,-0.018271711,-0.027884206,0.004398505,0.092308751,0.065085826,2019-02,2019-Q1,470900,-0.030155022000000004,2018-05,33138,25.853764,-80.17800600000001
36,4/30/2019,72459,33156,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Pinecrest,3139,749100,-0.008602435,-0.003723899,0.01106762,0.04078064,0.038302462,2006-08,2006-Q3,811900,-0.077349427,2006-02,33156,25.668203,-80.29701
37,4/30/2019,72485,33183,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Kendale Lakes,3213,243000,-0.002463054,0.004132231,0.06345733,0.10455251300000001,0.050339094,2007-01,2007-Q1,257000,-0.054474708,2006-05,33183,25.702563,-80.404682
38,4/30/2019,72475,33173,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Kendall,3269,349300,-0.004559704,0.0,0.043621152999999996,0.092631866,0.044132355,2007-01,2007-Q1,360800,-0.031873614,2006-06,33173,25.70232,-80.35750300000001
39,4/30/2019,72448,33145,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Miami,3906,402800,-0.014194812,-0.017321298,0.02155719,0.104818909,0.056948547999999995,2007-06,2007-Q2,440600,-0.085792102,2006-04,33145,25.753132,-80.234427
40,4/30/2019,72388,33056,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Miami Gardens,3911,255300,-0.00312378,0.0027494109999999998,0.104238754,0.19287562800000002,0.067301884,2019-03,2019-Q1,256100,-0.00312378,2019-02,33056,25.948877,-80.24358199999999
41,4/30/2019,72368,33030,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Homestead,4225,237100,-0.008779264,-0.003362757,0.11105904400000001,0.17602942600000002,0.05943752099999999,2006-11,2006-Q4,260600,-0.090176516,2006-03,33030,25.485147,-80.510882
42,4/30/2019,72476,33174,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Fountainbleau,4325,271500,-0.0014711289999999998,0.006300964,0.081673307,0.103000011,0.042130666,2007-02,2007-Q1,292200,-0.070841889,2006-06,33174,25.761518,-80.36469699999999
43,4/30/2019,72447,33144,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Miami,4928,352400,-0.005081875,-0.004238485,0.030409357,0.11817318800000001,0.055002933,2007-07,2007-Q3,388900,-0.093854461,2006-02,33144,25.763458,-80.312667
44,4/30/2019,72469,33166,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Miami Springs,5026,350900,-0.005385488000000001,-0.008757062,0.036938534,0.10048661800000001,0.044932605,2006-08,2006-Q3,362600,-0.032266961000000004,2006-04,33166,25.827855,-80.316183
45,4/30/2019,72457,33154,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Bal Harbour,5126,647600,-0.002464572,-0.007205274,0.0035642340000000003,0.056798079,0.05351579099999999,2017-04,2017-Q2,671600,-0.035735557,2016-10,33154,25.883337,-80.131831
46,4/30/2019,72491,33189,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Cutler Bay,5171,293000,-0.006442862,-0.000682128,0.070906433,0.124577285,0.06581449,2007-02,2007-Q1,299300,-0.021049115,2006-07,33189,25.572213,-80.33543399999999
47,4/30/2019,72435,33132,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Miami,5361,341900,0.000585309,-0.005526469,-0.028969042999999996,-0.01678638,0.015277428000000001,2007-04,2007-Q2,397500,-0.139874214,2005-05,33132,25.77789,-80.176165
48,4/30/2019,72483,33181,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,North Miami,5561,206800,0.00828864,0.007797271,0.039718451,0.075670402,0.039189591,2006-08,2006-Q3,269700,-0.233222099,2005-07,33181,25.897992000000002,-80.152331
49,4/30/2019,72487,33185,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Kendall West,5611,385600,-0.004903226,-0.006953386999999999,0.034334764,0.071349734,0.037322521000000004,2007-07,2007-Q3,421700,-0.085605881,2006-04,33185,25.726359,-80.450733
50,4/30/2019,72432,33129,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Miami,5838,460700,-0.005611915,-0.005611915,0.009642779,0.035532888,0.048281777000000005,2016-11,2016-Q4,511900,-0.100019535,2016-03,33129,25.750167,-80.190028
51,4/30/2019,72452,33149,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Key Biscayne,6539,1070600,-0.0109017,-0.034886866,-0.027876146,0.023888861,0.044003127999999996,2017-09,2017-Q3,1227100,-0.12753646800000001,2016-01,33149,25.719513,-80.168541
52,4/30/2019,72486,33184,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Tamiami,6802,352400,-0.005923836,-0.003393665,0.050059595,0.10521374,0.046074498,2007-04,2007-Q2,382600,-0.078933612,2006-05,33184,25.759711,-80.40647299999999
53,4/30/2019,72489,33187,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Richmond West,7463,375200,-0.005829359,-0.005829359,0.05600900599999999,0.09320551,0.044957477,2007-07,2007-Q3,417100,-0.10045552599999999,2006-03,33187,25.595896,-80.506909
54,4/30/2019,72449,33146,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Coral Gables,7648,908100,-0.00591133,-0.009813543000000001,0.011923333999999999,0.051071724000000006,0.039523115,2007-01,2007-Q1,941300,-0.035270371,2006-08,33146,25.72085,-80.272571
55,4/30/2019,72492,33190,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Cutler Bay,7828,253500,-0.000788333,0.005154639,0.071881607,0.090606496,0.050831460999999994,2006-07,2006-Q3,295800,-0.143002028,2005-10,33190,25.560026999999998,-80.349887
56,4/30/2019,72473,33170,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Goulds,8262,290600,-0.006495725999999999,-0.00206044,0.088797302,0.149173286,0.058232674000000005,2007-02,2007-Q1,315200,-0.078045685,2006-06,33170,25.557911999999998,-80.457897
57,4/30/2019,72484,33182,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Tamiami,8788,361000,-0.001106807,0.0,0.012906846000000001,0.068252623,0.035048419,2007-02,2007-Q1,397400,-0.09159537,2006-02,33182,25.780654000000002,-80.457553
58,4/30/2019,72461,33158,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Village of Palmetto Bay,10911,661500,-0.011358541000000002,-0.023183698,0.0066960890000000006,0.029105473,0.035520048,2006-09,2006-Q3,755000,-0.12384106,2005-09,33158,25.63884,-80.311316
59,4/30/2019,72369,33031,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Homestead,11109,459400,-0.002172024,0.0039335659999999995,0.105123887,0.106077609,0.040421213,2007-07,2007-Q3,601200,-0.23586161,2005-06,33031,25.524982,-80.500875
60,4/30/2019,72418,33109,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Fisher Island,14950,3080300,-0.014839927,-0.036864486,-0.038187722,0.045515694,0.051835244,2018-01,2018-Q1,3325700,-0.073788977,2016-03,33109,25.756717000000002,-80.140066
