Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
4/30/2019,65166,17751,PA,Lock Haven,Clinton County,Lamar,9852,150200,-0.001329787,-0.00595632,0.028062971,0.030420005,0.025645168,2019-01,2019-Q1,151100,-0.00595632,2018-11
4/30/2019,73285,35046,AL,Birmingham-Hoover,Chilton County,Clanton,9853,147800,-0.007387508,-0.012032086,0.009562842,0.017830188,0.011676948,2019-01,2019-Q1,149600,-0.012032086,2018-10
4/30/2019,98108,95324,CA,Merced,Merced County,Hilmar,9854,308700,-0.004514673,-0.004514673,0.087737844,0.077241314,0.059801254,2005-12,2005-Q4,355900,-0.132621523,2005-04
4/30/2019,62261,11789,NY,New York-Newark-Jersey City,Suffolk County,Sound Beach,9855,289400,0.002077562,0.026605179,0.077839851,0.042169631,0.005263234,2006-05,2006-Q2,338800,-0.145808737,2004-08
4/30/2019,95026,85643,AZ,Sierra Vista-Douglas,Cochise County,Willcox,9856,88200,0.006849315,0.043786982,0.094292804,0.01101226,-0.011584623,2009-06,2009-Q2,99400,-0.112676056,2006-01
4/30/2019,69868,28339,NC,Dunn,Harnett County,Erwin,9857,90500,-0.003303965,-0.009846827,0.05355064,0.07650202,0.014585571,2019-01,2019-Q1,91400,-0.009846827,2019-01
4/30/2019,74202,37146,TN,Nashville-Davidson--Murfreesboro--Franklin,Cheatham County,Pleasant View,9858,246900,0.008166599,0.023631841,0.134650735,0.080690306,0.04239747,2019-04,2019-Q2,246900,0,2019-04
4/30/2019,66523,20634,MD,California-Lexington Park,Saint Marys County,Great Mills,9859,248000,0.00567721,0.015977059,0.041141898,0.009968748,-0.00147982,2007-05,2007-Q2,296800,-0.164420485,2005-03
4/30/2019,76759,43571,OH,Toledo,Lucas County,Whitehouse,9860,233900,-0.001280956,-0.00042735,0.038171327,0.075165114,0.03513499,2018-08,2018-Q3,234500,-0.002558635,2018-08
4/30/2019,78395,46996,IN,,Pulaski County,Winamac,9861,100700,-0.003956479,-0.006903353,0.093376764,0.05957481,0.023534905,2019-02,2019-Q1,101400,-0.006903353,2018-12
4/30/2019,69263,27258,NC,Burlington,Alamance County,Haw River,9862,164100,0.002443494,0.021157436,0.083883752,0.055098416,0.026364933,2019-04,2019-Q2,164100,0,2019-04
4/30/2019,69763,28174,NC,Charlotte-Concord-Gastonia,Union County,Wingate,9863,152900,-0.000653595,0.001965924,0.074490513,0.075007701,0.032823204,2019-03,2019-Q1,153000,-0.000653595,2019-02
4/30/2019,62555,12428,NY,Kingston,Ulster County,Wawarsing,9864,119200,-0.022149303,-0.028524857,-0.04716227,-0.004632893,,2018-01,2018-Q1,127700,-0.066562255,2017-07
4/30/2019,97162,93223,CA,Visalia-Porterville,Tulare County,Farmersville,9865,170500,0.007088009,0.019127316,0.070979899,0.093001717,0.028604314,2006-10,2006-Q4,203100,-0.160512063,2005-07
4/30/2019,77567,45304,OH,Greenville,Darke County,Arcanum,9866,137900,-0.002170767,-0.001448226,0.09618442,-0.004718541,0.022491059,2015-06,2015-Q2,157300,-0.123331214,2012-01
4/30/2019,87045,66025,KS,Lawrence,Douglas County,Eudora,9867,200600,0.003501751,0.013131313,0.069866667,0.040731436,0.013572692,2019-04,2019-Q2,200600,0,2019-04
4/30/2019,94308,83801,ID,Coeur d'Alene,Kootenai County,Athol,9868,441000,-0.008543165,0.009153318,0.175686484,0.105982551,0.046473068,2019-03,2019-Q1,444800,-0.008543165,2019-02
4/30/2019,74521,37863,TN,Sevierville,Sevier County,Pigeon Forge,9869,181600,-0.001649258,0.011699164,0.114794352,0.07448243,0.017751132,2019-03,2019-Q1,181900,-0.001649258,2019-03
4/30/2019,78934,48054,MI,Detroit-Warren-Dearborn,Saint Clair County,East China,9870,227000,-0.001319842,0.006651885,0.136136136,0.087993327,0.038555109,2019-03,2019-Q1,227300,-0.001319842,2019-02
4/30/2019,69897,28371,NC,Fayetteville,Cumberland County,Parkton,9871,133700,-0.001493652,0,0.067891374,0.041504933,0.014828277,2019-02,2019-Q1,134000,-0.002238806,2019-01
4/30/2019,76263,42171,KY,Bowling Green,Warren County,Smiths Grove,9872,145400,-0.000687285,0.002758621,0.14488189,0.068495707,0.024000335,2019-03,2019-Q1,145500,-0.000687285,2019-03
4/30/2019,64383,15946,PA,Johnstown,Cambria County,Portage,9873,67500,-0.032951289,-0.101198402,-0.077868852,-0.00235366,-0.033393873,2009-06,2009-Q2,95800,-0.295407098,2002-01
4/30/2019,79736,49419,MI,Holland,Allegan County,Hamilton,9874,198800,-0.001506781,0.013251784,0.063670412,0.053767961,0.04203681,2019-03,2019-Q1,199100,-0.001506781,2019-03
4/30/2019,88655,70533,LA,Lafayette,Vermilion Parish,Erath,9875,72700,0.011126565,0.005532503,-0.004109589,,,2018-10,2018-Q4,73700,-0.013568521,2018-08
